ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
45.09,46.63,12.14,30.14,21.55,-10.98,Set needle
45.35,46.75,12.65,33.38,19.06,-17.32,Set needle
46.73,48.85,15.87,31.08,21.22,-8.08,Set needle
46.69,49.24,16.22,34.06,17.51,-20.81,Set needle
46.73,50.54,17.46,35.48,17.01,-24.2,Set needle
44.94,49.96,15.19,31.62,18.17,-15.33,Set needle
43.84,48.68,12.82,32.8,17.84,-18.51,Set needle
45.16,51.3,16.1,31.5,17.37,-16.49,Set needle
43.1,51.34,13.86,31.25,17.95,-14.58,Set needle
46.48,54.34,19.89,31.43,18.46,-14.16,Set needle
44.32,50.44,14.0,30.23,14.47,-24.35,Set needle
42.59,49.38,10.74,28.88,14.42,-26.85,Set needle
44.26,53.4,14.09,25.69,16.19,-23.32,Set needle
45.46,53.18,15.22,22.87,18.22,-18.57,Set needle
46.64,54.31,17.15,24.96,15.03,-28.9,Set needle
46.09,52.78,14.95,23.07,18.59,-20.71,Set needle
46.18,54.24,16.44,27.07,18.74,-24.69,Set needle
42.77,49.92,8.81,26.26,19.62,-18.18,Set needle
43.88,50.79,10.73,26.78,19.87,-16.96,Set needle
43.76,51.67,11.16,27.71,18.74,-18.4,Set needle
31.05,-41.53,-106.42,29.26,16.23,-17.78,Set needle
42.93,50.78,8.9,29.18,15.83,-15.48,Set needle
45.07,53.36,13.09,33.88,12.75,-26.13,Set needle
44.25,51.36,10.72,35.8,12.1,-21.73,Set needle
44.49,51.61,10.94,34.76,13.02,-17.84,Set needle
43.92,50.69,9.64,37.08,14.74,-18.57,Set needle
